age,country,pop,lethality_rate,dead,total_pop,dead_prop
0-9,Afghanistan,11088.732,0,0,38928.341,0
0-9,Albania,333.832,0,0,2877.8,0
0-9,Algeria,9677.49,0,0,43851.043,0
0-9,Angola,10899.168,0,0,32866.268000000004,0
0-9,Antigua and Barbuda,14.583,0,0,97.928,0
0-9,Argentina,7446.468,0,0,45195.777,0
0-9,Armenia,418.859,0,0,2963.234,0
0-9,Aruba,11.757,0,0,106.766,0
0-9,Australia,3308.974,0,0,25499.881,0
0-9,Austria,874.182,0,0,9006.4,0
0-9,Azerbaijan,1686.038,0,0,10139.175,0
0-9,Bahamas,53.653999999999996,0,0,393.248,0
0-9,Bahrain,218.135,0,0,1701.583,0
0-9,Bangladesh,28972.61,0,0,164689.383,0
0-9,Barbados,30.618000000000002,0,0,287.371,0
0-9,Belarus,1143.84,0,0,9449.321,0
0-9,Belgium,1302.703,0,0,11589.616,0
0-9,Belize,78.106,0,0,397.621,0
0-9,Benin,3596.95,0,0,12123.198,0
0-9,Bhutan,125.828,0,0,771.612,0
0-9,Bolivia (Plurinational State of),2364.587,0,0,11673.029,0
0-9,Bosnia and Herzegovina,295.212,0,0,3280.815,0
0-9,Botswana,539.005,0,0,2351.625,0
0-9,Brazil,29076.91,0,0,212559.409,0
0-9,Brunei Darussalam,66.355,0,0,437.483,0
0-9,Bulgaria,649.3820000000001,0,0,6948.445,0
0-9,Burkina Faso,6552.188,0,0,20903.278,0
0-9,Burundi,3872.447,0,0,11890.781,0
0-9,Cabo Verde,105.076,0,0,555.9879999999999,0
0-9,Cambodia,3530.587,0,0,16718.971,0
0-9,Cameroon,7846.026,0,0,26545.864,0
0-9,Canada,3970.921,0,0,37742.157,0
0-9,Central African Republic,1435.609,0,0,4829.764,0
0-9,Chad,5452.549,0,0,16425.859,0
0-9,Channel Islands,17.563,0,0,173.859,0
0-9,Chile,2428.079,0,0,19116.209,0
0-9,China,170667.62,0,0,1439323.774,0
0-9,"China, Hong Kong SAR",664.1949999999999,0,0,7496.987999999999,0
0-9,"China, Macao SAR",68.81700000000001,0,0,649.342,0
0-9,"China, Taiwan Province of China",2052.886,0,0,23816.775,0
0-9,Colombia,7414.155,0,0,50882.884,0
0-9,Comoros,237.638,0,0,869.595,0
0-9,Congo,1592.335,0,0,5518.092,0
0-9,Costa Rica,705.598,0,0,5094.114,0
0-9,Cote d'Ivoire,7750.286,0,0,26378.275,0
0-9,Croatia,385.776,0,0,4105.268,0
0-9,Cuba,1199.376,0,0,11326.616,0
0-9,Curacao,19.331,0,0,164.1,0
0-9,Cyprus,132.393,0,0,1207.361,0
0-9,Czechia,1113.646,0,0,10708.982,0
0-9,Dem. People's Republic of Korea,3430.371,0,0,25778.815,0
0-9,Democratic Republic of the Congo,29487.306,0,0,89561.404,0
0-9,Denmark,606.029,0,0,5792.2029999999995,0
0-9,Djibouti,197.11,0,0,988.002,0
0-9,Dominican Republic,1999.348,0,0,10847.904,0
0-9,Ecuador,3277.73,0,0,17643.06,0
0-9,Egypt,25028.54,0,0,102334.403,0
0-9,El Salvador,1146.823,0,0,6486.201,0
0-9,Equatorial Guinea,371.663,0,0,1402.985,0
0-9,Eritrea,971.77,0,0,3546.427,0
0-9,Estonia,143.661,0,0,1326.539,0
0-9,Eswatini,286.62,0,0,1160.164,0
0-9,Ethiopia,32037.548,0,0,114963.583,0
0-9,Fiji,177.14,0,0,896.444,0
0-9,Finland,568.679,0,0,5540.718,0
0-9,France,7527.474,0,0,65273.512,0
0-9,French Guiana,66.12100000000001,0,0,298.682,0
0-9,French Polynesia,39.634,0,0,280.904,0
0-9,Gabon,600.006,0,0,2225.728,0
0-9,Gambia,762.31,0,0,2416.6639999999998,0
0-9,Georgia,553.163,0,0,3989.175,0
0-9,Germany,7880.904,0,0,83783.945,0
0-9,Ghana,8057.871,0,0,31072.945,0
0-9,Greece,881.127,0,0,10423.056,0
0-9,Grenada,18.131,0,0,112.519,0
0-9,Guadeloupe,44.994,0,0,400.127,0
0-9,Guam,26.98,0,0,168.78300000000002,0
0-9,Guatemala,4047.467,0,0,17915.567,0
0-9,Guinea,3965.624,0,0,13132.792,0
0-9,Guinea-Bissau,582.349,0,0,1967.998,0
0-9,Guyana,147.628,0,0,786.559,0
0-9,Haiti,2500.779,0,0,11402.533,0
0-9,Honduras,2005.992,0,0,9904.608,0
0-9,Hungary,908.566,0,0,9660.35,0
0-9,Iceland,43.07,0,0,341.25,0
0-9,India,234861.634,0,0,1380004.385,0
0-9,Indonesia,47956.446,0,0,273523.621,0
0-9,Iran (Islamic Republic of),14565.856,0,0,83992.953,0
0-9,Iraq,10610.23,0,0,40222.503,0
0-9,Ireland,671.943,0,0,4937.796,0
0-9,Israel,1671.096,0,0,8655.541,0
0-9,Italy,4994.995,0,0,60461.828,0
0-9,Jamaica,464.789,0,0,2961.161,0
0-9,Japan,10179.969,0,0,126476.458,0
0-9,Jordan,2212.563,0,0,10203.14,0
0-9,Kazakhstan,3868.01,0,0,18776.707,0
0-9,Kenya,14013.91,0,0,53771.3,0
0-9,Kiribati,29.463,0,0,119.446,0
0-9,Kuwait,608.326,0,0,4270.563,0
0-9,Kyrgyzstan,1529.45,0,0,6524.191,0
0-9,Lao People's Democratic Republic,1566.742,0,0,7275.556,0
0-9,Latvia,207.769,0,0,1886.202,0
0-9,Lebanon,1152.157,0,0,6825.442,0
0-9,Lesotho,478.748,0,0,2142.252,0
0-9,Liberia,1418.816,0,0,5057.677000000001,0
0-9,Libya,1285.421,0,0,6871.287,0
0-9,Lithuania,300.675,0,0,2722.291,0
0-9,Luxembourg,65.906,0,0,625.976,0
0-9,Madagascar,7762.937,0,0,27691.019,0
0-9,Malawi,5662.519,0,0,19129.955,0
0-9,Malaysia,5143.189,0,0,32365.998,0
0-9,Maldives,72.821,0,0,540.542,0
0-9,Mali,6760.3189999999995,0,0,20250.834,0
0-9,Malta,43.102000000000004,0,0,441.539,0
0-9,Martinique,35.953,0,0,375.265,0
0-9,Mauritania,1307.828,0,0,4649.66,0
0-9,Mauritius,132.886,0,0,1271.767,0
0-9,Mayotte,71.474,0,0,272.813,0
0-9,Mexico,22169.253,0,0,128932.753,0
0-9,Micronesia (Fed. States of),24.048000000000002,0,0,115.021,0
0-9,Mongolia,737.475,0,0,3278.292,0
0-9,Montenegro,73.943,0,0,628.062,0
0-9,Morocco,6752.615,0,0,36910.558,0
0-9,Mozambique,9717.782,0,0,31255.435,0
0-9,Myanmar,9021.261,0,0,54409.794,0
0-9,Namibia,654.526,0,0,2540.9159999999997,0
0-9,Nepal,5462.983,0,0,29136.808,0
0-9,Netherlands,1752.763,0,0,17134.873,0
0-9,New Caledonia,41.314,0,0,285.491,0
0-9,New Zealand,615.284,0,0,4822.233,0
0-9,Nicaragua,1317.146,0,0,6624.554,0
0-9,Niger,8758.026,0,0,24206.636,0
0-9,Nigeria,63852.441000000006,0,0,206139.587,0
0-9,North Macedonia,227.55200000000002,0,0,2083.38,0
0-9,Norway,614.323,0,0,5421.242,0
0-9,Oman,832.573,0,0,5106.622,0
0-9,Pakistan,53462.232,0,0,220892.331,0
0-9,Panama,773.779,0,0,4314.768,0
0-9,Papua New Guinea,2150.348,0,0,8947.027,0
0-9,Paraguay,1383.911,0,0,7132.53,0
0-9,Peru,5445.4,0,0,32971.846,0
0-9,Philippines,22014.294,0,0,109581.085,0
0-9,Poland,3784.871,0,0,37846.604999999996,0
0-9,Portugal,841.076,0,0,10196.707,0
0-9,Puerto Rico,240.324,0,0,2860.84,0
0-9,Qatar,270.536,0,0,2881.06,0
0-9,Republic of Korea,4153.813,0,0,51269.183000000005,0
0-9,Republic of Moldova,424.058,0,0,4033.963,0
0-9,Reunion,132.392,0,0,895.308,0
0-9,Romania,1905.047,0,0,19237.682,0
0-9,Russian Federation,18622.607,0,0,145934.46,0
0-9,Rwanda,3561.023,0,0,12952.209,0
0-9,Saint Lucia,21.812,0,0,183.62900000000002,0
0-9,Saint Vincent and the Grenadines,15.947000000000001,0,0,110.947,0
0-9,Samoa,51.123000000000005,0,0,198.41,0
0-9,Sao Tome and Principe,62.411,0,0,219.161,0
0-9,Saudi Arabia,5956.216,0,0,34813.867,0
0-9,Senegal,5032.581,0,0,16743.93,0
0-9,Serbia,855.82,0,0,8737.37,0
0-9,Seychelles,15.933,0,0,98.34,0
0-9,Sierra Leone,2225.885,0,0,7976.985000000001,0
0-9,Singapore,479.037,0,0,5850.343,0
0-9,Slovakia,566.591,0,0,5459.643,0
0-9,Slovenia,210.171,0,0,2078.9320000000002,0
0-9,Solomon Islands,196.17000000000002,0,0,686.878,0
0-9,Somalia,5215.3640000000005,0,0,15893.219000000001,0
0-9,South Africa,11585.605,0,0,59308.69,0
0-9,South Sudan,3245.682,0,0,11193.729,0
0-9,Spain,4234.487,0,0,46754.783,0
0-9,Sri Lanka,3350.035,0,0,21413.25,0
0-9,State of Palestine,1364.528,0,0,5101.416,0
0-9,Sudan,12128.806,0,0,43849.269,0
0-9,Suriname,104.831,0,0,586.634,0
0-9,Sweden,1193.951,0,0,10099.27,0
0-9,Switzerland,884.945,0,0,8654.618,0
0-9,Syrian Arab Republic,3635.9030000000002,0,0,17500.657,0
0-9,Tajikistan,2577.61,0,0,9537.642,0
0-9,Thailand,7439.832,0,0,69799.978,0
0-9,Timor-Leste,331.878,0,0,1318.442,0
0-9,Togo,2340.181,0,0,8278.737000000001,0
0-9,Tonga,24.639,0,0,105.697,0
0-9,Trinidad and Tobago,184.451,0,0,1399.491,0
0-9,Tunisia,2017.759,0,0,11818.618,0
0-9,Turkey,13419.27,0,0,84339.067,0
0-9,Turkmenistan,1332.93,0,0,6031.187,0
0-9,Uganda,14855.952000000001,0,0,45741,0
0-9,Ukraine,4589.5109999999995,0,0,43733.759,0
0-9,United Arab Emirates,1011.713,0,0,9890.4,0
0-9,United Kingdom,8044.0560000000005,0,0,67886.004,0
0-9,United Republic of Tanzania,18362.316,0,0,59734.212999999996,0
0-9,United States of America,39721.484,0,0,331002.647,0
0-9,United States Virgin Islands,12.868,0,0,104.423,0
0-9,Uruguay,473.07,0,0,3473.727,0
0-9,Uzbekistan,6713.724,0,0,33469.199,0
0-9,Vanuatu,80.88499999999999,0,0,307.15,0
0-9,Venezuela (Bolivarian Republic of),5094.599,0,0,28435.943,0
0-9,Viet Nam,15478.572,0,0,97338.583,0
0-9,Western Sahara,112.594,0,0,597.33,0
0-9,Yemen,8033.407999999999,0,0,29825.968,0
0-9,Zambia,5663.542,0,0,18383.956000000002,0
0-9,Zimbabwe,4308.16,0,0,14862.927,0
10-19,Afghanistan,9821.559,0,0,38928.341,0
10-19,Albania,361.778,0,0,2877.8,0
10-19,Algeria,6731.746999999999,0,0,43851.043,0
10-19,Angola,7881.779,0,0,32866.268000000004,0
10-19,Antigua and Barbuda,13.867,0,0,97.928,0
10-19,Argentina,7136.711,0,0,45195.777,0
10-19,Armenia,368.93,0,0,2963.234,0
10-19,Aruba,14.01,0,0,106.766,0
10-19,Australia,3130.48,0,0,25499.881,0
10-19,Austria,876.208,0,0,9006.4,0
10-19,Azerbaijan,1335.458,0,0,10139.175,0
10-19,Bahamas,63.795,0,0,393.248,0
10-19,Bahrain,181.855,0,0,1701.583,0
10-19,Bangladesh,30674.422,0,0,164689.383,0
10-19,Barbados,36.512,0,0,287.371,0
10-19,Belarus,928.883,0,0,9449.321,0
10-19,Belgium,1312.251,0,0,11589.616,0
10-19,Belize,77.85,0,0,397.621,0
10-19,Benin,2779.486,0,0,12123.198,0
10-19,Bhutan,135.993,0,0,771.612,0
10-19,Bolivia (Plurinational State of),2297.696,0,0,11673.029,0
10-19,Bosnia and Herzegovina,346.275,0,0,3280.815,0
10-19,Botswana,472.033,0,0,2351.625,0
10-19,Brazil,31160.446,0,0,212559.409,0
10-19,Brunei Darussalam,65.084,0,0,437.483,0
10-19,Bulgaria,685.881,0,0,6948.445,0
10-19,Burkina Faso,5029.543,0,0,20903.278,0
10-19,Burundi,2725.292,0,0,11890.781,0
10-19,Cabo Verde,99.937,0,0,555.9879999999999,0
10-19,Cambodia,3100.069,0,0,16718.971,0
10-19,Cameroon,6176.459,0,0,26545.864,0
10-19,Canada,3971.3199999999997,0,0,37742.157,0
10-19,Central African Republic,1264.6080000000002,0,0,4829.764,0
10-19,Chad,4038.728,0,0,16425.859,0
10-19,Channel Islands,17.78,0,0,173.859,0
10-19,Chile,2493.879,0,0,19116.209,0
10-19,China,166604.61000000002,0,0,1439323.774,0
10-19,"China, Hong Kong SAR",552.659,0,0,7496.987999999999,0
10-19,"China, Macao SAR",46.834,0,0,649.342,0
10-19,"China, Taiwan Province of China",2188.811,0,0,23816.775,0
10-19,Colombia,8119.876,0,0,50882.884,0
10-19,Comoros,191.268,0,0,869.595,0
10-19,Congo,1257.964,0,0,5518.092,0
10-19,Costa Rica,718.837,0,0,5094.114,0
10-19,Cote d'Ivoire,6104.858,0,0,26378.275,0
10-19,Croatia,408.106,0,0,4105.268,0
10-19,Cuba,1246.732,0,0,11326.616,0
10-19,Curacao,21.573999999999998,0,0,164.1,0
10-19,Cyprus,141.657,0,0,1207.361,0
10-19,Czechia,1061.331,0,0,10708.982,0
10-19,Dem. People's Republic of Korea,3561.2290000000003,0,0,25778.815,0
10-19,Democratic Republic of the Congo,21000.02,0,0,89561.404,0
10-19,Denmark,675.948,0,0,5792.2029999999995,0
10-19,Djibouti,179.32,0,0,988.002,0
10-19,Dominican Republic,1935.875,0,0,10847.904,0
10-19,Ecuador,3115.985,0,0,17643.06,0
10-19,Egypt,18385.431,0,0,102334.403,0
10-19,El Salvador,1165.823,0,0,6486.201,0
10-19,Equatorial Guinea,265.297,0,0,1402.985,0
10-19,Eritrea,860.625,0,0,3546.427,0
10-19,Estonia,137.488,0,0,1326.539,0
10-19,Eswatini,277.01800000000003,0,0,1160.164,0
10-19,Ethiopia,26828.994,0,0,114963.583,0
10-19,Fiji,158.135,0,0,896.444,0
10-19,Finland,606.66,0,0,5540.718,0
10-19,France,7883.477,0,0,65273.512,0
10-19,French Guiana,57.553,0,0,298.682,0
10-19,French Polynesia,44.134,0,0,280.904,0
10-19,Gabon,422.77,0,0,2225.728,0
10-19,Gambia,556.857,0,0,2416.6639999999998,0
10-19,Georgia,471.057,0,0,3989.175,0
10-19,Germany,7930.616,0,0,83783.945,0
10-19,Ghana,6616.721,0,0,31072.945,0
10-19,Greece,1068.855,0,0,10423.056,0
10-19,Grenada,16.137,0,0,112.519,0
10-19,Guadeloupe,58.513000000000005,0,0,400.127,0
10-19,Guam,27.161,0,0,168.78300000000002,0
10-19,Guatemala,3871.605,0,0,17915.567,0
10-19,Guinea,3199.4539999999997,0,0,13132.792,0
10-19,Guinea-Bissau,450.029,0,0,1967.998,0
10-19,Guyana,145.351,0,0,786.559,0
10-19,Haiti,2346.529,0,0,11402.533,0
10-19,Honduras,2064.638,0,0,9904.608,0
10-19,Hungary,969.207,0,0,9660.35,0
10-19,Iceland,44.708,0,0,341.25,0
10-19,India,252201.51799999998,0,0,1380004.385,0
10-19,Indonesia,46303.005,0,0,273523.621,0
10-19,Iran (Islamic Republic of),11747.928,0,0,83992.953,0
10-19,Iraq,8710.757,0,0,40222.503,0
10-19,Ireland,668.7470000000001,0,0,4937.796,0
10-19,Israel,1405.063,0,0,8655.541,0
10-19,Italy,5733.448,0,0,60461.828,0
10-19,Jamaica,466.6,0,0,2961.161,0
10-19,Japan,11267.171,0,0,126476.458,0
10-19,Jordan,2179.853,0,0,10203.14,0
10-19,Kazakhstan,2720.923,0,0,18776.707,0
10-19,Kenya,12746.879,0,0,53771.3,0
10-19,Kiribati,23.631999999999998,0,0,119.446,0
10-19,Kuwait,533.226,0,0,4270.563,0
10-19,Kyrgyzstan,1100.701,0,0,6524.191,0
10-19,Lao People's Democratic Republic,1466.251,0,0,7275.556,0
10-19,Latvia,188.72400000000002,0,0,1886.202,0
10-19,Lebanon,1134.997,0,0,6825.442,0
10-19,Lesotho,428.821,0,0,2142.252,0
10-19,Liberia,1175.025,0,0,5057.677000000001,0
10-19,Libya,1185.744,0,0,6871.287,0
10-19,Lithuania,242.841,0,0,2722.291,0
10-19,Luxembourg,65.901,0,0,625.976,0
10-19,Madagascar,6342.928,0,0,27691.019,0
10-19,Malawi,4738.053,0,0,19129.955,0
10-19,Malaysia,5115.769,0,0,32365.998,0
10-19,Maldives,59.438,0,0,540.542,0
10-19,Mali,5009.4619999999995,0,0,20250.834,0
10-19,Malta,40.927,0,0,441.539,0
10-19,Martinique,47.122,0,0,375.265,0
10-19,Mauritania,1007.5550000000001,0,0,4649.66,0
10-19,Mauritius,175.164,0,0,1271.767,0
10-19,Mayotte,64.566,0,0,272.813,0
10-19,Mexico,22350.463,0,0,128932.753,0
10-19,Micronesia (Fed. States of),23.299,0,0,115.021,0
10-19,Mongolia,500.443,0,0,3278.292,0
10-19,Montenegro,78.537,0,0,628.062,0
10-19,Morocco,6097.196,0,0,36910.558,0
10-19,Mozambique,7595.4580000000005,0,0,31255.435,0
10-19,Myanmar,9916.644,0,0,54409.794,0
10-19,Namibia,526.434,0,0,2540.9159999999997,0
10-19,Nepal,6120.13,0,0,29136.808,0
10-19,Netherlands,1953.692,0,0,17134.873,0
10-19,New Caledonia,43.203,0,0,285.491,0
10-19,New Zealand,624.953,0,0,4822.233,0
10-19,Nicaragua,1240.161,0,0,6624.554,0
10-19,Niger,5901.125,0,0,24206.636,0
10-19,Nigeria,47703.19,0,0,206139.587,0
10-19,North Macedonia,233.451,0,0,2083.38,0
10-19,Norway,643.031,0,0,5421.242,0
10-19,Oman,530.304,0,0,5106.622,0
10-19,Pakistan,45427.436,0,0,220892.331,0
10-19,Panama,726.609,0,0,4314.768,0
10-19,Papua New Guinea,1917.883,0,0,8947.027,0
10-19,Paraguay,1336.278,0,0,7132.53,0
10-19,Peru,5134.604,0,0,32971.846,0
10-19,Philippines,21369.695,0,0,109581.085,0
10-19,Poland,3709.136,0,0,37846.604999999996,0
10-19,Portugal,1015.166,0,0,10196.707,0
10-19,Puerto Rico,394.666,0,0,2860.84,0
10-19,Qatar,228.4,0,0,2881.06,0
10-19,Republic of Korea,4753.258,0,0,51269.183000000005,0
10-19,Republic of Moldova,419.286,0,0,4033.963,0
10-19,Reunion,138.862,0,0,895.308,0
10-19,Romania,2075.306,0,0,19237.682,0
